city,state,total_e2w_ev
Bangalore,Ka:Karnataka,189956
Pune,Mh:Maharashtra,121012
Jaipur,Rj:Rajasthan,70162
Surat,Gj:Gujarat,68699
Pimpri Chinchwad,Mh:Maharashtra,63271
Nagpur,Mh:Maharashtra,59155
Ahmedabad,Gj:Gujarat,56721
Indore ,Mp:Madhya Pradesh,45227
Madurai,Tn:Tamil Nadu,42019
Kolhapur,Mh:Maharashtra,38301
Lucknow,Up:Uttar Pradesh,37574
Nashik,Mh:Maharashtra,36947
Raipur,Cg:Chattisgarh,36834
Chennakeshavanagar,Ka:Karnataka,33207
Nagapattinam,Tn:Tamil Nadu,31975
Koramangala,Ka:Karnataka,29335
Mysuru,Ka:Karnataka,28217
Coimbatore,Tn:Tamil Nadu,27710
Aurangabad,Mh:Maharashtra,27289
Agra,Up:Uttar Pradesh,27098
Bhopal ,Mp:Madhya Pradesh,25067
Mumbai,Mh:Maharashtra,24899
Vadodara,Gj:Gujarat,24608
Sangli,Mh:Maharashtra,23622
Jodhpur,Rj:Rajasthan,23230
Gwalior ,Mp:Madhya Pradesh,22425
Ahmednagar,Mh:Maharashtra,22242
Yelahanka,Ka:Karnataka,21884
Solapur,Mh:Maharashtra,21094
K R Puram,Ka:Karnataka,20821
Rohini,Dl:Delhi,20355
Chennai,Tn:Tamil Nadu,20148
Amravati,Mh:Maharashtra,20027
Belgaum,Ka:Karnataka,19623
Patna,Br:Bihar,19608
Porbandar Highway,Gj:Gujarat,19161
 Vishakapatnam,Ap:Andhra Pradesh,18704
Jabalpur ,Mp:Madhya Pradesh,18622
Varanasi,Up:Uttar Pradesh,18319
Tirupur,Tn:Tamil Nadu,18102
Periyakulam,Tn:Tamil Nadu,17153
Dy  Vasai Virar,Mh:Maharashtra,16994
Ariyalur,Tn:Tamil Nadu,16677
Ludhiana,Pb:Punjab,16093
Durg,Cg:Chattisgarh,15818
Ajmer,Rj:Rajasthan,15771
Shrirampur,Mh:Maharashtra,14720
Udaipur,Rj:Rajasthan,14669
Thiruvananthapuram,Kl:Kerala,14150
Kota,Rj:Rajasthan,13454
Meerut,Up:Uttar Pradesh,13436
Tumkur,Ka:Karnataka,12991
Kalyan,Mh:Maharashtra,12838
Jalgaon,Mh:Maharashtra,12669
Ranchi,Jh:Jharkhand,12665
Mangalore,Ka:Karnataka,12206
Bikaner,Rj:Rajasthan,12144
Alwar,Rj:Rajasthan,12058
Hassan,Ka:Karnataka,11907
Malegaon,Mh:Maharashtra,11765
Bilashpur,Cg:Chattisgarh,11561
Satara,Mh:Maharashtra,11534
Sivagangai,Tn:Tamil Nadu,11501
Gautambudhnagar,Up:Uttar Pradesh,11489
Bhilwara,Rj:Rajasthan,11441
Mandya,Ka:Karnataka,11402
Dindigul,Tn:Tamil Nadu,11031
Nanded,Mh:Maharashtra,10969
Thane,Mh:Maharashtra,10955
Panvel,Mh:Maharashtra,10859
Kanpur Nagar,Up:Uttar Pradesh,10847
Surajmahalvihar,Dl:Delhi,10754
 Vijayawada,Ap:Andhra Pradesh,10663
Allahabad,Up:Uttar Pradesh,10659
Baramati,Mh:Maharashtra,10629
Ghaziabad,Up:Uttar Pradesh,10509
Saharanpur,Up:Uttar Pradesh,10294
Ujjain ,Mp:Madhya Pradesh,10253
Kozhikode,Kl:Kerala,10220
Latur,Mh:Maharashtra,9785
Davanagere,Ka:Karnataka,9726
Hosur,Tn:Tamil Nadu,9403
Gorakhpur,Up:Uttar Pradesh,9325
Borivali,Mh:Maharashtra,9094
Jamnagar,Gj:Gujarat,9074
Erode,Tn:Tamil Nadu,9034
Udupi,Ka:Karnataka,8915
Sikar,Rj:Rajasthan,8863
Ernakulam,Kl:Kerala,8731
 Godavari Kakinada,Ap:Andhra Pradesh,8686
Anand,Gj:Gujarat,8585
Shimoga,Ka:Karnataka,8571
Jalna,Mh:Maharashtra,8433
Ambikapur,Cg:Chattisgarh,8283
Sangagiri,Tn:Tamil Nadu,8221
Amritsar,Pb:Punjab,8162
Thrissur,Kl:Kerala,8093
Chhindwara,Mp:Madhya Pradesh,8062
Mapusa,Ga:Goa,7765
Yawatmal,Mh:Maharashtra,7672
Jamshedpur,Jh:Jharkhand,7619
Dhule,Mh:Maharashtra,7490
